/Users/krsc0813/CLionProjects/gwas_local/gwas_files/GCST90179150_buildGRCh37.tsv
block_idx,col_idx,column_size
0,0,67172
0,1,42
0,2,69408
0,3,3165
0,4,3160
0,5,36164
0,6,151631
0,7,112670
0,8,146655
0,9,146519
1,0,67359
1,1,42
1,2,71579
1,3,3173
1,4,3169
1,5,35963
1,6,151760
1,7,105302
1,8,146863
1,9,146687
2,0,67302
2,1,42
2,2,71950
2,3,3167
2,4,3165
2,5,36279
2,6,151680
2,7,109517
2,8,146210
2,9,145554
3,0,67882
3,1,42
3,2,72849
3,3,3173
3,4,3165
3,5,35939
3,6,151734
3,7,107348
3,8,145818
3,9,147035
4,0,67952
4,1,42
4,2,72907
4,3,3159
4,4,3165
4,5,36184
4,6,151624
4,7,106945
4,8,147027
4,9,147933
5,0,67490
5,1,42
5,2,72774
5,3,3160
5,4,3168
5,5,35782
5,6,152273
5,7,112608
5,8,146767
5,9,147163
6,0,66564
6,1,42
6,2,72512
6,3,3159
6,4,3158
6,5,36301
6,6,151870
6,7,113331
6,8,146794
6,9,146321
7,0,66778
7,1,42
7,2,72551
7,3,3164
7,4,3160
7,5,36116
7,6,152092
7,7,110913
7,8,146444
7,9,147744
8,0,67544
8,1,42
8,2,72245
8,3,3172
8,4,3171
8,5,36094
8,6,151714
8,7,111219
8,8,147239
8,9,147041
9,0,67687
9,1,42
9,2,72599
9,3,3167
9,4,3169
9,5,36027
9,6,152273
9,7,108937
9,8,146925
9,9,145991
10,0,67826
10,1,42
10,2,72617
10,3,3169
10,4,3162
10,5,35918
10,6,151493
10,7,107316
10,8,146589
10,9,147952
11,0,67153
11,1,42
11,2,72693
11,3,3159
11,4,3172
11,5,36160
11,6,151183
11,7,109793
11,8,146664
11,9,147688
12,0,67576
12,1,42
12,2,73067
12,3,3164
12,4,3186
12,5,35944
12,6,152127
12,7,108771
12,8,146603
12,9,146988
13,0,67299
13,1,42
13,2,72986
13,3,3173
13,4,3172
13,5,36055
13,6,151358
13,7,107915
13,8,145882
13,9,146058
14,0,66463
14,1,42
14,2,72315
14,3,3153
14,4,3164
14,5,36214
14,6,151681
14,7,112921
14,8,146255
14,9,144219
15,0,67045
15,1,42
15,2,73048
15,3,3165
15,4,3157
15,5,36118
15,6,151641
15,7,108735
15,8,147092
15,9,147444
16,0,66508
16,1,42
16,2,72424
16,3,3171
16,4,3164
16,5,35995
16,6,151127
16,7,107932
16,8,146072
16,9,145133
17,0,67215
17,1,42
17,2,72838
17,3,3151
17,4,3159
17,5,35540
17,6,151065
17,7,105083
17,8,146303
17,9,148269
18,0,67253
18,1,42
18,2,72707
18,3,3172
18,4,3175
18,5,36078
18,6,151599
18,7,110870
18,8,146357
18,9,145988
19,0,67292
19,1,42
19,2,72567
19,3,3157
19,4,3162
19,5,35922
19,6,151430
19,7,108745
19,8,146497
19,9,145842
20,0,67622
20,1,42
20,2,72789
20,3,3161
20,4,3165
20,5,36106
20,6,152342
20,7,109867
20,8,146276
20,9,145229
21,0,67379
21,1,42
21,2,72594
21,3,3165
21,4,3171
21,5,36069
21,6,151616
21,7,108684
21,8,146304
21,9,145885
22,0,66876
22,1,42
22,2,71565
22,3,3183
22,4,3161
22,5,36157
22,6,151624
22,7,110832
22,8,146158
22,9,143729
23,0,66955
23,1,42
23,2,71948
23,3,3179
23,4,3163
23,5,36341
23,6,152011
23,7,109576
23,8,146234
23,9,145477
24,0,68644
24,1,46
24,2,68787
24,3,3177
24,4,3177
