/Users/krsc0813/CLionProjects/gwas_local/gwas_files/GCST90179150_buildGRCh37.tsv
block_idx,col_idx,column_size
0,0,8285
0,1,40
0,2,6210
0,3,442
0,4,459
0,5,4493
0,6,18020
0,7,13219
0,8,17590
0,9,17492
1,0,7795
1,1,40
1,2,6219
1,3,454
1,4,458
1,5,4660
1,6,17900
1,7,14431
1,8,17576
1,9,17886
2,0,7971
2,1,40
2,2,6141
2,3,449
2,4,460
2,5,4633
2,6,17982
2,7,14376
2,8,17594
2,9,17437
3,0,8008
3,1,40
3,2,6018
3,3,457
3,4,452
3,5,4636
3,6,17999
3,7,14280
3,8,17569
3,9,17234
4,0,7836
4,1,40
4,2,6097
4,3,448
4,4,457
4,5,4663
4,6,17888
4,7,14709
4,8,17466
4,9,17340
5,0,7891
5,1,40
5,2,6095
5,3,448
5,4,452
5,5,4719
5,6,18090
5,7,15013
5,8,17645
5,9,17350
6,0,7979
6,1,40
6,2,6174
6,3,464
6,4,454
6,5,4730
6,6,17977
6,7,15040
6,8,17543
6,9,17332
7,0,8038
7,1,40
7,2,6237
7,3,445
7,4,458
7,5,4608
7,6,17997
7,7,14230
7,8,17558
7,9,17485
8,0,7781
8,1,40
8,2,6272
8,3,452
8,4,454
8,5,4724
8,6,17953
8,7,15076
8,8,17468
8,9,17708
9,0,7837
9,1,40
9,2,6220
9,3,452
9,4,447
9,5,4728
9,6,17923
9,7,14501
9,8,17510
9,9,17627
10,0,7946
10,1,40
10,2,6229
10,3,458
10,4,445
10,5,4724
10,6,18000
10,7,14944
10,8,17564
10,9,17679
11,0,8465
11,1,40
11,2,6642
11,3,449
11,4,461
11,5,4466
11,6,17910
11,7,12952
11,8,17386
11,9,17411
12,0,7879
12,1,40
12,2,6513
12,3,448
12,4,463
12,5,4488
12,6,17866
12,7,13494
12,8,17463
12,9,17719
13,0,7901
13,1,40
13,2,6422
13,3,452
13,4,463
13,5,4660
13,6,17967
13,7,14430
13,8,17522
13,9,17565
14,0,8200
14,1,40
14,2,6485
14,3,458
14,4,460
14,5,4546
14,6,18025
14,7,13842
14,8,17644
14,9,17202
15,0,7864
15,1,40
15,2,6345
15,3,459
15,4,455
15,5,4414
15,6,18087
15,7,13893
15,8,17582
15,9,17242
16,0,8092
16,1,40
16,2,6417
16,3,458
16,4,453
16,5,4741
16,6,18003
16,7,14956
16,8,17623
16,9,17304
17,0,7753
17,1,40
17,2,6367
17,3,458
17,4,454
17,5,4639
17,6,17860
17,7,14051
17,8,17473
17,9,17472
18,0,8079
18,1,40
18,2,6483
18,3,448
18,4,457
18,5,4497
18,6,17783
18,7,13448
18,8,17415
18,9,17573
19,0,7600
19,1,40
19,2,6410
19,3,455
19,4,456
19,5,4641
19,6,17967
19,7,14307
19,8,17527
19,9,17540
20,0,8041
20,1,40
20,2,6440
20,3,461
20,4,454
20,5,4709
20,6,18023
20,7,15096
20,8,17587
20,9,17202
21,0,7920
21,1,40
21,2,6403
21,3,455
21,4,455
21,5,4716
21,6,18001
21,7,14722
21,8,17548
21,9,17297
22,0,8218
22,1,40
22,2,6420
22,3,459
22,4,451
22,5,4593
22,6,18032
22,7,13959
22,8,17529
22,9,17560
23,0,8080
23,1,40
23,2,6493
23,3,449
23,4,461
23,5,4636
23,6,17990
23,7,14836
23,8,17508
23,9,17289
24,0,8100
24,1,40
24,2,6537
24,3,462
24,4,457
24,5,4585
24,6,17964
24,7,13797
24,8,17574
24,9,17286
25,0,8145
25,1,40
25,2,6392
25,3,455
25,4,462
25,5,4563
25,6,17861
25,7,13714
25,8,17423
25,9,17336
26,0,7928
26,1,40
26,2,6484
26,3,450
26,4,449
26,5,4756
26,6,17951
26,7,15237
26,8,17539
26,9,17629
27,0,8027
27,1,40
27,2,6613
27,3,444
27,4,458
27,5,4550
27,6,17912
27,7,13904
27,8,17503
27,9,17630
28,0,7890
28,1,40
28,2,6431
28,3,460
28,4,451
28,5,4699
28,6,17994
28,7,14778
28,8,17522
28,9,17394
29,0,7790
29,1,40
29,2,6622
29,3,456
29,4,460
29,5,4601
29,6,18038
29,7,14212
29,8,17488
29,9,17250
30,0,8517
30,1,40
30,2,6737
30,3,455
30,4,457
30,5,4426
30,6,17891
30,7,13093
30,8,17531
30,9,17479
31,0,8151
31,1,40
31,2,6664
31,3,451
31,4,466
31,5,4394
31,6,17890
31,7,12810
31,8,17422
31,9,17507
32,0,8055
32,1,40
32,2,6392
32,3,456
32,4,461
32,5,4713
32,6,17928
32,7,14884
32,8,17485
32,9,17447
33,0,7870
33,1,40
33,2,6382
33,3,460
33,4,457
33,5,4690
33,6,18027
33,7,14974
33,8,17565
33,9,17320
34,0,7870
34,1,40
34,2,6539
34,3,445
34,4,459
34,5,4590
34,6,18009
34,7,14073
34,8,17445
34,9,17427
35,0,8291
35,1,40
35,2,6655
35,3,459
35,4,460
35,5,4406
35,6,17794
35,7,13253
35,8,17425
35,9,17754
36,0,8048
36,1,40
36,2,6621
36,3,460
36,4,455
36,5,4644
36,6,17931
36,7,14842
36,8,17500
36,9,17957
37,0,7904
37,1,40
37,2,6488
37,3,462
37,4,468
37,5,4710
37,6,18024
37,7,14912
37,8,17568
37,9,17590
38,0,8278
38,1,40
38,2,6799
38,3,451
38,4,455
38,5,4444
38,6,18028
38,7,13403
38,8,17551
38,9,17287
39,0,8031
39,1,40
39,2,6558
39,3,466
39,4,453
39,5,4606
39,6,17989
39,7,14283
39,8,17489
39,9,17369
40,0,8177
40,1,40
40,2,6572
40,3,457
40,4,451
40,5,4620
40,6,18042
40,7,14146
40,8,17568
40,9,17575
41,0,8272
41,1,40
41,2,6576
41,3,454
41,4,455
41,5,4642
41,6,17939
41,7,14370
41,8,17510
41,9,17792
42,0,8164
42,1,40
42,2,6534
42,3,455
42,4,459
42,5,4593
42,6,17973
42,7,13864
42,8,17643
42,9,17842
43,0,8213
43,1,40
43,2,6486
43,3,461
43,4,460
43,5,4536
43,6,17905
43,7,13364
43,8,17475
43,9,17310
44,0,8233
44,1,40
44,2,6491
44,3,456
44,4,464
44,5,4579
44,6,18009
44,7,13946
44,8,17573
44,9,17613
45,0,7961
45,1,40
45,2,6591
45,3,456
45,4,460
45,5,4567
45,6,17907
45,7,13749
45,8,17360
45,9,17561
46,0,7879
46,1,40
46,2,6641
46,3,463
46,4,457
46,5,4588
46,6,17891
46,7,14422
46,8,17469
46,9,17306
47,0,8129
47,1,40
47,2,6692
47,3,464
47,4,465
47,5,4615
47,6,17905
47,7,13833
47,8,17369
47,9,17345
48,0,7893
48,1,40
48,2,6648
48,3,451
48,4,454
48,5,4425
48,6,17590
48,7,13051
48,8,17335
48,9,18231
49,0,7987
49,1,40
49,2,6596
49,3,458
49,4,454
49,5,4595
49,6,17967
49,7,14349
49,8,17495
49,9,17568
50,0,8170
50,1,40
50,2,6599
50,3,446
50,4,456
50,5,4602
50,6,18004
50,7,14639
50,8,17535
50,9,17344
51,0,8014
51,1,40
51,2,6789
51,3,457
51,4,455
51,5,4495
51,6,17503
51,7,13959
51,8,17443
51,9,18646
52,0,8448
52,1,40
52,2,6735
52,3,449
52,4,455
52,5,4216
52,6,17718
52,7,12285
52,8,17340
52,9,17558
53,0,8197
53,1,40
53,2,6596
53,3,453
53,4,453
53,5,4305
53,6,17990
53,7,12797
53,8,17513
53,9,17246
54,0,7910
54,1,40
54,2,6499
54,3,450
54,4,455
54,5,4673
54,6,17912
54,7,14455
54,8,17439
54,9,17276
55,0,8098
55,1,40
55,2,6415
55,3,451
55,4,455
55,5,4643
55,6,18023
55,7,14389
55,8,17626
55,9,17432
56,0,7936
56,1,40
56,2,6420
56,3,454
56,4,462
56,5,4675
56,6,17946
56,7,14467
56,8,17506
56,9,17123
57,0,7767
57,1,40
57,2,6464
57,3,456
57,4,450
57,5,4618
57,6,17926
57,7,13956
57,8,17528
57,9,17273
58,0,7709
58,1,40
58,2,6419
58,3,457
58,4,459
58,5,4645
58,6,17933
58,7,14215
58,8,17566
58,9,17325
59,0,7580
59,1,40
59,2,6478
59,3,456
59,4,447
59,5,4678
59,6,17940
59,7,14905
59,8,17488
59,9,17597
60,0,7715
60,1,40
60,2,6412
60,3,458
60,4,454
60,5,4615
60,6,18001
60,7,14096
60,8,17544
60,9,17283
61,0,7846
61,1,40
61,2,6568
61,3,449
61,4,454
61,5,4658
61,6,18103
61,7,14559
61,8,17585
61,9,17280
62,0,8149
62,1,40
62,2,6606
62,3,452
62,4,454
62,5,4646
62,6,17947
62,7,14111
62,8,17539
62,9,17379
63,0,8079
63,1,40
63,2,6582
63,3,456
63,4,456
63,5,4654
63,6,17990
63,7,14797
63,8,17557
63,9,17429
64,0,7980
64,1,40
64,2,6438
64,3,455
64,4,446
64,5,4649
64,6,17942
