/Users/krsc0813/CLionProjects/gwas_local/gwas_files/GCST90179150_buildGRCh37.tsv
block_idx,col_idx,column_size
0,0,66187
0,1,131
0,2,30591
0,3,3243
0,4,3223
0,5,39519
0,6,154135
0,7,98531
0,8,153639
0,9,150927
1,0,66491
1,1,131
1,2,34279
1,3,3195
1,4,3143
1,5,39135
1,6,153887
1,7,92295
1,8,153531
1,9,150663
2,0,66911
2,1,131
2,2,35031
2,3,3255
2,4,3227
2,5,39595
2,6,154251
2,7,95963
2,8,153483
2,9,150375
3,0,68075
3,1,131
3,2,35931
3,3,3243
3,4,3191
3,5,38811
3,6,153827
3,7,94671
3,8,153315
3,9,151147
4,0,67823
4,1,131
4,2,35739
4,3,3251
4,4,3163
4,5,39151
4,6,153655
4,7,93563
4,8,153175
4,9,152495
5,0,66955
5,1,131
5,2,35655
5,3,3243
5,4,3215
5,5,38855
5,6,153527
5,7,99531
5,8,153531
5,9,151291
6,0,65535
6,1,131
6,2,35363
6,3,3223
6,4,3239
6,5,39591
6,6,154319
6,7,100467
6,8,153595
6,9,151035
7,0,65911
7,1,131
7,2,35719
7,3,3223
7,4,3243
7,5,39027
7,6,153543
7,7,98331
7,8,152819
7,9,151499
8,0,67071
8,1,131
8,2,34875
8,3,3223
8,4,3235
8,5,39319
8,6,154011
8,7,98651
8,8,153599
8,9,151939
9,0,67171
9,1,131
9,2,35475
9,3,3227
9,4,3143
9,5,38943
9,6,154443
9,7,96723
9,8,153475
9,9,150507
10,0,67763
10,1,131
10,2,33915
10,3,3207
10,4,3131
10,5,38515
10,6,153655
10,7,94827
10,8,153179
10,9,152211
11,0,66311
11,1,131
11,2,32415
11,3,3187
11,4,3231
11,5,38879
11,6,153119
11,7,96503
11,8,152343
11,9,151507
12,0,67179
12,1,131
12,2,33259
12,3,3219
12,4,3235
12,5,38835
12,6,153751
12,7,95683
12,8,153279
12,9,150919
13,0,66699
13,1,131
13,2,33187
13,3,3219
13,4,3179
13,5,38567
13,6,153599
13,7,95131
13,8,152943
13,9,149939
14,0,65859
14,1,131
14,2,32339
14,3,3247
14,4,3219
14,5,39679
14,6,154347
14,7,100383
14,8,153555
14,9,149287
15,0,66911
15,1,131
15,2,33087
15,3,3175
15,4,3215
15,5,38795
15,6,153559
15,7,94783
15,8,153159
15,9,152259
16,0,65787
16,1,131
16,2,32911
16,3,3247
16,4,3227
16,5,38703
16,6,153459
16,7,94583
16,8,152471
16,9,148811
17,0,66671
17,1,131
17,2,32751
17,3,3231
17,4,3247
17,5,37439
17,6,152199
17,7,91875
17,8,151655
17,9,151419
18,0,66855
18,1,131
18,2,32675
18,3,3231
18,4,3243
18,5,39511
18,6,153915
18,7,98187
18,8,153351
18,9,150351
19,0,67011
19,1,131
19,2,32611
19,3,3227
19,4,3155
19,5,39163
19,6,154123
19,7,97235
19,8,153555
19,9,150491
20,0,66811
20,1,131
20,2,32543
20,3,3259
20,4,3231
20,5,39003
20,6,153859
20,7,96623
20,8,153195
20,9,149683
21,0,66695
21,1,131
21,2,32639
21,3,3271
21,4,3299
21,5,39219
21,6,154219
21,7,95719
21,8,153231
21,9,150487
22,0,65899
22,1,131
22,2,31779
22,3,3227
22,4,3219
22,5,39319
22,6,154159
22,7,97979
22,8,153203
22,9,148259
23,0,66435
23,1,131
23,2,32039
23,3,3255
23,4,3223
23,5,39859
23,6,154279
23,7,95839
23,8,153783
23,9,149795
24,0,68059
24,1,135
24,2,31167
24,3,3227
24,4,3223
24,5,38855
24,6,153915
24,7,98147
24,8,153687
24,9,151391
25,0,67771
25,1,131
25,2,32727
25,3,3251
25,4,3191
25,5,38771
25,6,153423
25,7,97779
25,8,152931
25,9,149615
26,0,67611
26,1,131
26,2,34687
26,3,3203
26,4,3239
26,5,38715
26,6,153499
26,7,98275
26,8,153119
26,9,149763
27,0,69007
27,1,131
27,2,35391
27,3,3243
27,4,3223
27,5,39399
27,6,153983
27,7,98231
27,8,154207
27,9,153107
28,0,68559
28,1,131
28,2,34215
28,3,3175
28,4,3259
28,5,39587
28,6,154371
28,7,96847
28,8,153839
28,9,150895
29,0,67991
29,1,131
29,2,34835
29,3,3155
29,4,3179
29,5,40259
29,6,154147
29,7,103351
29,8,154071
29,9,152223
30,0,67935
30,1,131
30,2,34231
30,3,3211
30,4,3223
30,5,40423
30,6,154247
30,7,102335
30,8,153579
30,9,154083
31,0,68679
31,1,131
31,2,35679
31,3,3175
31,4,3227
31,5,40107
31,6,153987
31,7,99947
31,8,153811
31,9,155479
32,0,69111
32,1,131
32,2,35095
32,3,3171
32,4,3211
32,5,39291
32,6,154271
32,7,100063
32,8,153327
32,9,149819
33,0,67575
33,1,131
33,2,34951
33,3,3231
33,4,3239
33,5,39595
33,6,153767
33,7,100899
33,8,153171
33,9,151095
34,0,68803
34,1,131
34,2,35895
34,3,3215
34,4,3199
34,5,36923
34,6,152775
34,7,94995
34,8,152319
34,9,149683
35,0,67555
35,1,131
35,2,32607
35,3,3231
35,4,3223
35,5,38239
35,6,153175
35,7,96975
35,8,153467
35,9,151387
36,0,68751
36,1,131
36,2,32943
36,3,3159
36,4,3235
36,5,38775
36,6,154063
36,7,95355
36,8,153471
36,9,150167
37,0,68411
37,1,131
37,2,32515
37,3,3231
37,4,3231
37,5,38079
37,6,153391
37,7,93071
37,8,152395
37,9,148399
38,0,68223
38,1,131
38,2,33075
38,3,3243
38,4,3195
38,5,38535
38,6,153607
38,7,99295
38,8,153263
38,9,150587
39,0,69675
39,1,131
39,2,32679
39,3,3211
39,4,3175
39,5,38647
39,6,153483
39,7,95819
39,8,152987
39,9,151603
40,0,68923
40,1,131
40,2,32963
40,3,3179
40,4,3131
40,5,39219
40,6,154131
40,7,97859
40,8,153767
40,9,150411
41,0,68971
41,1,131
41,2,33151
41,3,3191
41,4,3135
41,5,38475
41,6,153167
41,7,95755
41,8,153223
41,9,153963
42,0,69075
42,1,131
42,2,32543
42,3,3175
42,4,3211
42,5,38879
42,6,153875
42,7,93803
42,8,153423
42,9,151295
43,0,68635
43,1,131
43,2,32603
43,3,3215
43,4,3239
43,5,38723
43,6,154059
43,7,100531
43,8,153431
43,9,150919
44,0,68707
44,1,131
44,2,33907
44,3,3227
44,4,3207
44,5,37667
44,6,153335
44,7,97067
44,8,152851
44,9,150167
45,0,69443
45,1,131
45,2,33751
45,3,3219
45,4,3255
45,5,39151
45,6,153811
45,7,97479
45,8,154171
45,9,153199
46,0,69079
46,1,131
46,2,32475
46,3,3231
46,4,3223
46,5,38731
46,6,153767
46,7,95723
46,8,153747
46,9,151087
47,0,67967
47,1,131
47,2,32803
47,3,3223
47,4,3191
47,5,39139
47,6,153839
47,7,99095
47,8,153355
47,9,151099
48,0,68467
48,1,131
48,2,32335
48,3,3239
48,4,3243
48,5,38667
48,6,154043
48,7,93831
48,8,153283
48,9,151115
49,0,68439
49,1,131
49,2,31743
49,3,3227
49,4,3227
49,5,39243
49,6,154451
49,7,95907
49,8,153675
49,9,148971
50,0,68407
50,1,135
50,2,31363
50,3,3195
50,4,3219
50,5,40039
50,6,154443
50,7,97015
50,8,154199
50,9,150255
51,0,66795
51,1,131
51,2,31103
51,3,3231
51,4,3195
51,5,40195
51,6,154235
51,7,100643
51,8,153979
51,9,150343
52,0,68259
52,1,131
52,2,35039
52,3,3227
52,4,3239
52,5,39339
52,6,153859
52,7,95991
52,8,153519
52,9,152335
53,0,68459
53,1,131
53,2,34151
53,3,3191
53,4,3215
53,5,39839
53,6,153823
53,7,98559
53,8,153507
53,9,151887
54,0,70163
54,1,131
54,2,34791
54,3,3199
54,4,3127
54,5,39423
54,6,154263
54,7,96483
54,8,153843
54,9,150611
55,0,69323
55,1,131
55,2,35571
55,3,3227
55,4,3243
55,5,38235
55,6,153171
55,7,94223
55,8,152787
55,9,151327
56,0,69659
56,1,131
56,2,35927
56,3,3151
56,4,3211
56,5,38743
56,6,152619
56,7,94875
56,8,153027
56,9,155187
57,0,67975
57,1,131
57,2,34643
57,3,3243
57,4,3179
57,5,39919
57,6,154499
57,7,100675
57,8,153791
57,9,151703
58,0,69027
58,1,131
58,2,34939
58,3,3211
58,4,3187
58,5,40163
58,6,154479
58,7,100043
58,8,153883
58,9,151307
59,0,68947
59,1,131
59,2,35407
59,3,3267
59,4,3223
59,5,38531
59,6,153579
59,7,94095
59,8,153207
59,9,152883
60,0,68999
60,1,131
60,2,35495
60,3,3223
60,4,3251
60,5,37251
60,6,151471
60,7,93635
60,8,152499
60,9,155527
61,0,67475
61,1,131
61,2,33459
61,3,3255
61,4,3215
61,5,37339
61,6,153183
61,7,90063
61,8,152295
61,9,148727
62,0,68435
62,1,131
62,2,32651
62,3,3239
62,4,3235
62,5,38475
62,6,153407
62,7,93971
62,8,152979
62,9,149511
63,0,69647
63,1,131
63,2,32803
63,3,3243
63,4,3227
63,5,38831
63,6,153411
63,7,93967
63,8,153263
63,9,151387
64,0,68715
64,1,131
64,2,32587
64,3,3251
64,4,3199
64,5,38115
64,6,153227
64,7,91807
64,8,152911
64,9,150899
65,0,68671
65,1,131
65,2,33055
65,3,3179
65,4,3223
65,5,39079
