/Users/krsc0813/CLionProjects/gwas_local/gwas_files/GCST90179150_buildGRCh37.tsv
block_idx,col_idx,column_size
0,0,76790
0,1,62
0,2,62350
0,3,3691
0,4,3723
0,5,44066
0,6,171781
0,7,134077
0,8,167367
0,9,167030
1,0,77137
1,1,62
1,2,65705
1,3,3724
1,4,3704
1,5,43683
1,6,171654
1,7,129636
1,8,167252
1,9,167236
2,0,77357
2,1,62
2,2,65957
2,3,3733
2,4,3708
2,5,44097
2,6,171869
2,7,133348
2,8,167167
2,9,166151
3,0,78283
3,1,62
3,2,66862
3,3,3737
3,4,3727
3,5,43606
3,6,171671
3,7,130035
3,8,166929
3,9,167433
4,0,78081
4,1,62
4,2,66736
4,3,3715
4,4,3725
4,5,43655
4,6,171588
4,7,128986
4,8,167118
4,9,168876
5,0,77297
5,1,62
5,2,66575
5,3,3694
5,4,3710
5,5,43362
5,6,171290
5,7,130463
5,8,167029
5,9,167274
6,0,76043
6,1,62
6,2,66157
6,3,3688
6,4,3694
6,5,44152
6,6,171810
6,7,134805
6,8,167157
6,9,167169
7,0,76424
7,1,62
7,2,66380
7,3,3728
7,4,3729
7,5,43639
7,6,171346
7,7,131562
7,8,166690
7,9,167961
8,0,77438
8,1,62
8,2,65827
8,3,3739
8,4,3719
8,5,43735
8,6,171786
8,7,132416
8,8,167310
8,9,168220
9,0,77515
9,1,62
9,2,66373
9,3,3704
9,4,3722
9,5,43524
9,6,172075
9,7,129382
9,8,167368
9,9,166738
10,0,78086
10,1,62
10,2,66681
10,3,3694
10,4,3708
10,5,43225
10,6,171302
10,7,126783
10,8,166856
10,9,168471
11,0,76811
11,1,62
11,2,66615
11,3,3684
11,4,3726
11,5,43419
11,6,171201
11,7,130286
11,8,166659
11,9,167913
12,0,77594
12,1,62
12,2,67715
12,3,3688
12,4,3738
12,5,43404
12,6,171522
12,7,129627
12,8,166949
12,9,167258
13,0,77173
13,1,62
13,2,67574
13,3,3728
13,4,3704
13,5,43517
13,6,171583
13,7,129312
13,8,166578
13,9,166292
14,0,76355
14,1,62
14,2,66828
14,3,3735
14,4,3718
14,5,43950
14,6,172010
14,7,134187
14,8,167287
14,9,165106
15,0,77369
15,1,62
15,2,67781
15,3,3728
15,4,3688
15,5,43494
15,6,171294
15,7,128503
15,8,166888
15,9,168294
16,0,76443
16,1,62
16,2,66996
16,3,3701
16,4,3734
16,5,43358
16,6,171338
16,7,127504
16,8,166545
16,9,165512
17,0,77281
17,1,62
17,2,67241
17,3,3716
17,4,3710
17,5,42297
17,6,170506
17,7,122644
17,8,165887
17,9,168123
18,0,77350
18,1,62
18,2,67004
18,3,3717
18,4,3737
18,5,43825
18,6,171706
18,7,132830
18,8,166904
18,9,166599
19,0,77345
19,1,62
19,2,66952
19,3,3720
19,4,3701
19,5,43622
19,6,171880
19,7,130216
19,8,167057
19,9,166366
20,0,77393
20,1,62
20,2,66951
20,3,3707
20,4,3683
20,5,43595
20,6,171787
20,7,130224
20,8,167143
20,9,165838
21,0,77090
21,1,62
21,2,67001
21,3,3727
21,4,3695
21,5,43636
21,6,172119
21,7,130248
21,8,167001
21,9,166397
22,0,76486
22,1,62
22,2,66035
22,3,3705
22,4,3711
22,5,43746
22,6,171865
22,7,132862
22,8,167335
22,9,164661
23,0,77066
23,1,62
23,2,66358
23,3,3724
23,4,3716
23,5,44286
23,6,172022
23,7,134543
23,8,167399
23,9,165818
24,0,78535
24,1,66
24,2,63312
24,3,3720
24,4,3719
24,5,43566
24,6,171962
24,7,131701
24,8,167548
24,9,167726
25,0,78045
25,1,62
25,2,64404
25,3,3715
25,4,3716
25,5,43586
25,6,171375
25,7,133513
25,8,166821
25,9,166314
26,0,78268
26,1,62
26,2,65786
26,3,3732
