/Users/krsc0813/CLionProjects/gwas_local/gwas_files/GCST90179150_buildGRCh37.tsv
block_idx,col_idx,column_size
0,0,75578
0,1,15
0,2,59706
0,3,4463
0,4,4415
0,5,45484
0,6,168982
0,7,114035
0,8,163188
0,9,163905
1,0,75917
1,1,15
1,2,61251
1,3,4432
1,4,4456
1,5,45050
1,6,168790
1,7,107345
1,8,163050
1,9,163906
2,0,76146
2,1,15
2,2,61545
2,3,4444
2,4,4432
2,5,45561
2,6,169117
2,7,111090
2,8,163101
2,9,163140
3,0,77242
3,1,15
3,2,62187
3,3,4429
3,4,4448
3,5,44827
3,6,168937
3,7,109907
3,8,162777
3,9,164201
4,0,77012
4,1,15
4,2,62411
4,3,4418
4,4,4415
4,5,44949
4,6,168673
4,7,108805
4,8,162864
4,9,165349
5,0,75987
5,1,15
5,2,62371
5,3,4421
5,4,4446
5,5,44683
5,6,168653
5,7,115424
5,8,162984
5,9,164075
6,0,74761
6,1,15
6,2,61899
6,3,4438
6,4,4451
6,5,45478
6,6,168985
6,7,116076
6,8,163126
6,9,164036
7,0,75257
7,1,15
7,2,61972
7,3,4423
7,4,4424
7,5,45015
7,6,168604
7,7,113835
7,8,162509
7,9,164725
8,0,76358
8,1,15
8,2,61563
8,3,4422
8,4,4430
8,5,45015
8,6,169006
8,7,114122
8,8,163059
8,9,164776
9,0,76479
9,1,15
9,2,61800
9,3,4441
9,4,4416
9,5,44805
9,6,169355
9,7,111916
9,8,163308
9,9,163680
10,0,77148
10,1,15
10,2,62619
10,3,4453
10,4,4475
10,5,44279
10,6,168528
10,7,109918
10,8,162745
10,9,165265
11,0,75665
11,1,15
11,2,62377
11,3,4446
11,4,4467
11,5,44649
11,6,168206
11,7,111841
11,8,162293
11,9,164379
12,0,76517
12,1,15
12,2,63214
12,3,4433
12,4,4423
12,5,44648
12,6,168738
12,7,110960
12,8,162877
12,9,164002
13,0,75891
13,1,15
13,2,63738
13,3,4429
13,4,4433
13,5,44755
13,6,168783
13,7,110120
13,8,162444
13,9,163324
14,0,75346
14,1,15
14,2,63469
14,3,4468
14,4,4428
14,5,45354
14,6,169031
14,7,116238
14,8,163296
14,9,162132
15,0,76329
15,1,15
15,2,63816
15,3,4430
15,4,4425
15,5,44595
15,6,168520
15,7,110033
15,8,162790
15,9,165107
16,0,75261
16,1,15
16,2,63450
16,3,4455
16,4,4445
16,5,44419
16,6,168620
16,7,109785
16,8,162666
16,9,162660
17,0,76049
17,1,15
17,2,63350
17,3,4425
17,4,4416
17,5,43157
17,6,167785
17,7,107078
17,8,161772
17,9,164873
18,0,76256
18,1,15
18,2,62779
18,3,4444
18,4,4461
18,5,45211
18,6,168820
18,7,113583
18,8,162859
18,9,163567
19,0,76287
19,1,15
19,2,62646
19,3,4427
19,4,4436
19,5,44969
19,6,169007
19,7,112298
19,8,162969
19,9,163457
20,0,76163
20,1,15
20,2,62740
20,3,4429
20,4,4434
20,5,44867
20,6,168820
20,7,111885
20,8,163108
20,9,162837
21,0,75945
21,1,15
21,2,63031
21,3,4426
21,4,4449
21,5,44987
21,6,169256
21,7,110834
21,8,162830
21,9,163189
22,0,75195
22,1,15
22,2,62299
22,3,4408
22,4,4422
22,5,45079
22,6,169054
22,7,113327
22,8,163292
22,9,161767
23,0,75830
23,1,15
23,2,62422
23,3,4478
23,4,4443
23,5,45832
23,6,169079
23,7,110779
23,8,163259
23,9,162891
24,0,77732
24,1,19
24,2,60607
24,3,4430
24,4,4447
24,5,44815
24,6,168968
24,7,113999
24,8,163462
24,9,164536
25,0,77228
25,1,15
25,2,60273
25,3,4415
25,4,4427
25,5,44903
25,6,168580
25,7,113270
25,8,162716
25,9,163146
26,0,77226
26,1,15
26,2,61137
26,3,4401
26,4,4417
26,5,44606
26,6,168632
26,7,113896
26,8,162871
26,9,162905
27,0,78536
27,1,15
27,2,62298
27,3,4439
27,4,4478
27,5,44995
27,6,168942
27,7,113611
27,8,163200
27,9,165749
28,0,78337
28,1,15
28,2,61093
28,3,4462
28,4,4452
28,5,45204
28,6,169022
28,7,111597
28,8,163198
28,9,163630
29,0,77445
29,1,15
29,2,61290
29,3,4439
29,4,4450
29,5,46082
29,6,168935
29,7,118662
29,8,163172
29,9,164966
30,0,77578
30,1,15
30,2,60928
30,3,4462
30,4,4407
30,5,46100
30,6,168771
30,7,117799
30,8,162548
30,9,166048
31,0,78152
31,1,15
31,2,62450
31,3,4458
31,4,4423
31,5,45813
31,6,168661
31,7,115035
31,8,162482
31,9,167343
32,0,78534
32,1,15
32,2,61667
32,3,4458
32,4,4439
32,5,45215
32,6,169217
32,7,115766
32,8,162997
32,9,163056
33,0,77058
33,1,15
33,2,61634
33,3,4447
33,4,4444
33,5,45493
33,6,168546
33,7,116366
33,8,162642
33,9,164066
34,0,78571
34,1,15
34,2,62569
34,3,4416
34,4,4426
34,5,42935
34,6,168107
34,7,111049
34,8,162302
34,9,163251
35,0,77088
35,1,15
35,2,63303
35,3,4456
35,4,4426
35,5,44326
35,6,168577
35,7,112714
35,8,162911
35,9,164832
36,0,78318
36,1,15
36,2,63489
36,3,4418
36,4,4442
36,5,44632
36,6,168934
36,7,110550
36,8,163068
36,9,163216
37,0,77806
37,1,15
37,2,63410
37,3,4456
37,4,4411
37,5,44094
37,6,168471
37,7,108577
37,8,162470
37,9,161766
38,0,77923
38,1,15
38,2,63433
38,3,4482
38,4,4413
38,5,44769
38,6,168772
38,7,115264
38,8,162975
38,9,164079
39,0,79482
39,1,15
39,2,63103
39,3,4405
39,4,4443
39,5,44451
39,6,168349
39,7,111096
39,8,162623
39,9,164406
40,0,78597
40,1,15
40,2,63811
40,3,4475
40,4,4434
40,5,44960
40,6,169029
40,7,113269
40,8,162956
40,9,163866
41,0,78369
41,1,15
41,2,63706
41,3,4466
41,4,4445
41,5,44323
41,6,168226
41,7,110727
41,8,162038
41,9,166403
42,0,78766
42,1,15
42,2,62537
42,3,4404
42,4,4456
42,5,44625
42,6,168761
42,7,108656
42,8,162868
42,9,163976
43,0,78332
43,1,15
43,2,62784
43,3,4433
43,4,4441
43,5,44559
43,6,168725
43,7,116401
43,8,162955
43,9,163964
44,0,78344
44,1,15
44,2,63941
44,3,4431
44,4,4435
44,5,43487
44,6,168470
44,7,112805
44,8,162749
44,9,163415
45,0,79154
45,1,15
45,2,64108
45,3,4427
45,4,4415
45,5,44835
45,6,168677
45,7,112784
45,8,163056
45,9,165935
46,0,78861
46,1,15
46,2,62655
46,3,4445
46,4,4432
46,5,44770
46,6,168772
46,7,111214
46,8,163236
46,9,164364
47,0,77510
47,1,15
47,2,62973
47,3,4403
47,4,4423
47,5,45334
47,6,168876
47,7,114801
47,8,162901
47,9,164067
48,0,78070
48,1,15
48,2,62452
48,3,4469
48,4,4405
48,5,44655
48,6,168975
48,7,109006
48,8,162940
48,9,164194
49,0,77568
49,1,15
49,2,61749
49,3,4401
49,4,4416
49,5,45282
49,6,169163
49,7,111012
49,8,163466
49,9,162251
50,0,77811
50,1,19
50,2,61188
50,3,4420
50,4,4419
50,5,45819
50,6,169073
50,7,111918
50,8,163403
50,9,162983
51,0,75780
51,1,15
51,2,59307
51,3,4454
51,4,4417
51,5,45943
51,6,169047
51,7,116064
51,8,163106
51,9,163691
52,0,77368
52,1,15
52,2,62286
52,3,4452
52,4,4419
52,5,44931
52,6,168775
52,7,111055
52,8,162459
52,9,165216
53,0,77624
53,1,15
53,2,61252
53,3,4433
53,4,4427
53,5,45538
53,6,168721
53,7,113536
53,8,162664
53,9,164448
54,0,79380
54,1,15
54,2,61351
54,3,4447
54,4,4428
54,5,45210
54,6,168985
54,7,111537
54,8,163043
54,9,163752
55,0,78372
55,1,15
55,2,61996
55,3,4445
55,4,4439
55,5,44225
55,6,168389
55,7,109492
55,8,162341
55,9,164576
56,0,78741
56,1,15
56,2,62623
56,3,4422
56,4,4434
56,5,44580
56,6,167776
56,7,110327
56,8,162518
56,9,167936
57,0,77097
57,1,15
57,2,61012
57,3,4429
57,4,4410
57,5,45624
57,6,169219
57,7,116077
57,8,163298
57,9,164486
58,0,78361
58,1,15
58,2,61759
58,3,4440
58,4,4436
58,5,45912
58,6,169007
58,7,115455
58,8,163177
58,9,163948
59,0,78227
59,1,15
59,2,62204
59,3,4436
59,4,4404
59,5,44646
59,6,168536
59,7,109437
59,8,162761
59,9,165564
60,0,78337
60,1,15
60,2,61881
60,3,4421
60,4,4437
60,5,43129
60,6,167292
60,7,109616
60,8,161562
60,9,168718
61,0,76898
61,1,15
61,2,62422
61,3,4449
61,4,4436
61,5,43415
61,6,168560
61,7,105294
61,8,162471
61,9,162646
62,0,77686
62,1,15
62,2,62839
62,3,4450
62,4,4425
62,5,44268
62,6,168615
62,7,109285
62,8,162569
62,9,163360
63,0,78874
63,1,15
63,2,63308
63,3,4438
63,4,4419
63,5,44491
63,6,168466
63,7,109126
63,8,162695
63,9,164127
64,0,77731
64,1,15
64,2,62881
64,3,4412
64,4,4441
64,5,44051
64,6,168444
64,7,106818
64,8,162611
64,9,164133
65,0,77989
65,1,15
65,2,63726
65,3,4431
