trait, uncompressed tsv(GB), bgz(GB), tbi(MB), xxx(GB), gen(MB), pval(MB), tsv_comp_ratio, bgz-tbi_comp_ratio, num_sig_genes, num_sig_snps, %_xxx_wins, %_avg_speedup
shellfish intake,1.2091,0.2715,1.6885,0.1838,0.506,0.1981,6.5534,1.4805,977,2189,98.4412,68.6966
sickle cell anemia,1.8225,0.5107,1.7465,0.4277,0.511,0.1534,4.2542,1.1963,42,392,99.9791,84.3658
psoriasis,4.1587,1.0985,1.9274,0.8771,0.513,0.1553,4.7379,1.2536,143,2232,99.9583,85.3325
size of red wine glass drunk,4.17,1.0982,1.9279,0.8804,0.513,0.1537,4.7328,1.2486,0,0,100.0,85.9391
standing height,8.0126,2.0483,2.1941,1.8838,0.5207,0.2522,4.2516,1.088,5776,165522,99.2649,62.2271
monocyte count,8.7106,2.2893,2.2362,1.9746,0.5211,0.2024,4.4097,1.1601,1803,41759,98.4777,75.9609
type 2 diabetes,9.3567,2.4672,2.2698,2.2061,0.522,0.1605,4.2401,1.1191,141,3514,99.9009,87.0387
diabetes mellitus,9.3676,2.4732,2.2704,2.2118,0.522,0.1604,4.234,1.1189,156,4039,99.8853,86.736
snoring,10.4422,2.7342,2.3161,2.4149,0.5226,0.1613,4.3229,1.1329,59,2120,99.9583,87.6139
smoking status,10.6391,2.7522,2.3221,2.4858,0.5228,0.1698,4.2787,1.1078,168,5004,99.9531,86.7813
